Region,Country,ISO.Code,RE.or.Non.RE,Group.Technology,Technology,Producer.Type,Year,Electricity.Installed.Capacity..MW.
Africa,Burundi,BDI,Total Renewable,Bioenergy,Solid biofuels,Off-grid,2017,4
Africa,Burundi,BDI,Total Renewable,Bioenergy,Solid biofuels,Off-grid,2018,4
Africa,Burundi,BDI,Total Renewable,Bioenergy,Solid biofuels,Off-grid,2019,4
Africa,Burundi,BDI,Total Renewable,Bioenergy,Solid biofuels,Off-grid,2020,4
Africa,Burundi,BDI,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2016,2
Africa,Burundi,BDI,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2017,2
Africa,Burundi,BDI,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2018,2
Africa,Burundi,BDI,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2019,2
Africa,Burundi,BDI,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Off-grid,2020,2
Africa,Burundi,BDI,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2016,49
Africa,Burundi,BDI,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2017,47
Africa,Burundi,BDI,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2018,47
Africa,Burundi,BDI,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2019,47
Africa,Burundi,BDI,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2020,47
Africa,Burundi,BDI,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2016,4
Africa,Burundi,BDI,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2017,5
Africa,Burundi,BDI,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2018,5
Africa,Burundi,BDI,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2019,5
Africa,Burundi,BDI,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2020,5
Africa,Burundi,BDI,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2016,0
Africa,Burundi,BDI,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2017,0
Africa,Burundi,BDI,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2018,0
Africa,Burundi,BDI,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2019,0
Africa,Burundi,BDI,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2020,0
Africa,Cabo Verde,CPV,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2016,143
Africa,Cabo Verde,CPV,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2017,143
Africa,Cabo Verde,CPV,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2018,141
Africa,Cabo Verde,CPV,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,141
Africa,Cabo Verde,CPV,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,141
Africa,Cabo Verde,CPV,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2016,1
Africa,Cabo Verde,CPV,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2017,1
Africa,Cabo Verde,CPV,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2018,1
Africa,Cabo Verde,CPV,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2019,1
Africa,Cabo Verde,CPV,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2020,1
Africa,Cabo Verde,CPV,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2016,6
Africa,Cabo Verde,CPV,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2017,6
Africa,Cabo Verde,CPV,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2018,7
Africa,Cabo Verde,CPV,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2019,7
Africa,Cabo Verde,CPV,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2020,7
Africa,Cabo Verde,CPV,Total Renewable,Wind energy,Onshore wind energy,On-grid,2016,27
